"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.583622000E-1,1.961740255E-1,3.520374298E-1,-2.498931885E-1,4.741953247E-1
4.630429820E-1,2.986845374E-1,3.008646965E-1,-1.765985489E-1,4.592592579E-1
4.677237630E-1,4.327327609E-1,2.071583271E-1,-1.157789230E-1,4.935351800E-1
4.724045440E-1,5.104582310E-1,1.401803493E-1,-1.455154419E-1,5.489926045E-1
4.770853250E-1,5.354468822E-1,1.205015182E-2,-2.388162613E-1,5.864143386E-1
4.817661590E-1,5.233694315E-1,-1.217963696E-1,-3.856458664E-1,6.614171541E-1
4.864468880E-1,4.871896207E-1,-2.380845547E-1,-5.615987778E-1,7.806607259E-1
4.911277210E-1,5.051208138E-1,-3.700394630E-1,-6.337900162E-1,8.909354777E-1
4.958085020E-1,4.864239991E-1,-4.940385818E-1,-6.268672943E-1,9.346898052E-1
5.004892840E-1,4.791351855E-1,-4.988241196E-1,-6.221275330E-1,9.302895762E-1
5.051700650E-1,5.001249313E-1,-4.876909256E-1,-6.384000778E-1,9.463202657E-1
5.098508460E-1,4.783818424E-1,-4.112026691E-1,-5.616006851E-1,8.445899311E-1
5.145316270E-1,4.429995418E-1,-3.554923534E-1,-4.968051910E-1,7.546116917E-1
5.192124090E-1,3.940296173E-1,-2.780318260E-1,-3.821315765E-1,6.152930825E-1
5.238931900E-1,3.359600604E-1,-2.787017822E-1,-2.393445969E-1,4.978249508E-1
5.285739710E-1,3.039710224E-1,-2.688043118E-1,-8.302307129E-2,4.141822918E-1
5.332547520E-1,3.115763664E-1,-2.934753895E-1,1.222686768E-1,4.451485883E-1
5.379355340E-1,3.270499110E-1,-3.664042950E-1,3.095979691E-1,5.805726949E-1
5.426163670E-1,3.473831117E-1,-4.725120068E-1,4.528589249E-1,7.409614218E-1
5.472971480E-1,2.961679101E-1,-6.327571869E-1,5.286474228E-1,8.761079763E-1
5.519779300E-1,2.139571905E-1,-7.444875240E-1,5.303287506E-1,9.387693735E-1
5.566587110E-1,1.409246325E-1,-8.528838158E-1,5.295619965E-1,1.013758582E0
5.613394920E-1,1.730555296E-2,-9.411473274E-1,5.926828384E-1,1.112353685E0
5.660202730E-1,-4.091596603E-2,-9.240486622E-1,7.072448730E-1,1.164360493E0
5.707010550E-1,-9.884494543E-2,-9.209232330E-1,8.204803467E-1,1.237359254E0
5.753818360E-1,-1.209373474E-1,-8.652360439E-1,8.422307968E-1,1.213512245E0
5.800626170E-1,-1.997071505E-1,-7.980465889E-1,7.520265579E-1,1.114587479E0
5.847433980E-1,-2.772212625E-1,-6.464328766E-1,7.218751907E-1,1.007884360E0
5.894241800E-1,-2.861427665E-1,-3.926126957E-1,6.637306213E-1,8.225331296E-1
5.941049610E-1,-2.663236260E-1,-1.023294926E-1,6.327753067E-1,6.941211621E-1
5.987857420E-1,-1.529976726E-1,1.217372417E-1,5.862741470E-1,6.180174911E-1
6.034665750E-1,-3.209948540E-3,3.061270714E-1,5.078535080E-1,5.929917986E-1
6.081473570E-1,1.519570947E-1,4.085795879E-1,4.784317017E-1,6.472442595E-1
6.128281380E-1,2.861353755E-1,4.422180653E-1,5.045118332E-1,7.293575668E-1
6.175089190E-1,3.971688151E-1,3.065481186E-1,5.117616653E-1,7.166692535E-1
6.221897000E-1,4.073840976E-1,1.605010033E-1,3.980379105E-1,5.917402751E-1
6.268704820E-1,3.606246710E-1,-1.651620865E-2,2.970304489E-1,4.674933433E-1
6.315512630E-1,2.927240729E-1,-1.406979561E-1,3.674259186E-1,4.903928052E-1
6.362320440E-1,2.174940705E-1,-2.454693317E-1,5.459661484E-1,6.368970864E-1
6.409128250E-1,1.461889744E-1,-2.692320347E-1,7.604770660E-1,8.198673507E-1
6.455936070E-1,1.421200633E-1,-2.599542141E-1,1.053240776E0,1.094116282E0
6.502743880E-1,1.234174967E-1,-2.370576859E-1,1.337162018E0,1.363609360E0
6.549551690E-1,8.207571507E-2,-2.759478092E-1,1.587237358E0,1.613135471E0
6.596359500E-1,2.006655931E-2,-3.644289970E-1,1.815594673E0,1.851916623E0
6.643167320E-1,-1.778769493E-2,-4.855573177E-1,2.050881386E0,2.107651956E0
6.689975650E-1,-8.897221088E-2,-6.085236073E-1,2.221862793E0,2.305404803E0
6.736783460E-1,-1.315363646E-1,-6.862170696E-1,2.376665115E0,2.477242974E0
6.783591270E-1,-1.549969912E-1,-7.695624828E-1,2.482407570E0,2.603574048E0
6.830399090E-1,-2.209768295E-1,-8.948469162E-1,2.513561249E0,2.677232137E0
6.877206900E-1,-2.241615057E-1,-9.579520226E-1,2.468547821E0,2.657376301E0
6.924014710E-1,-2.358585596E-1,-1.035939455E0,2.409903526E0,2.633711226E0
6.970822520E-1,-2.150266171E-1,-1.115087390E0,2.288066864E0,2.554389615E0
7.017630340E-1,-1.425775290E-1,-1.174389958E0,2.143999100E0,2.448724620E0
7.064438150E-1,-1.162483692E-1,-1.242821813E0,2.020712852E0,2.375163189E0
7.111245960E-1,-1.119617224E-1,-1.258787751E0,1.853954315E0,2.243708678E0
7.158053770E-1,-9.148317575E-2,-1.284509778E0,1.660654068E0,2.101453420E0
7.204861590E-1,-3.824639320E-2,-1.251003981E0,1.457609177E0,1.921223115E0
7.251669400E-1,5.464148521E-2,-1.187195063E0,1.254376411E0,1.727969326E0
7.298477730E-1,1.318191886E-1,-1.109838486E0,1.074644089E0,1.550476598E0
7.345285550E-1,3.690025806E-1,-1.180586815E0,1.029932022E0,1.609567676E0
7.392093360E-1,6.224390268E-1,-1.193678737E0,9.171695709E-1,1.628956504E0
7.438901170E-1,7.827561498E-1,-1.141551137E0,6.604642868E-1,1.533642482E0
7.485708980E-1,8.007673025E-1,-9.475347996E-1,3.579025269E-1,1.291179572E0
7.532516800E-1,8.109291792E-1,-7.546510696E-1,3.816604614E-2,1.108404717E0
7.579324610E-1,8.046296239E-1,-6.363604069E-1,-2.273149490E-1,1.050740446E0
7.626132420E-1,8.421941400E-1,-5.682709217E-1,-4.483852386E-1,1.110527862E0
7.672940230E-1,9.645222425E-1,-5.388078690E-1,-4.800052643E-1,1.204583799E0
7.719748050E-1,1.085739493E0,-5.381610394E-1,-4.541368484E-1,1.294097303E0
7.766555860E-1,1.186858892E0,-5.373771191E-1,-3.735876083E-1,1.355350840E0
7.813363670E-1,1.224876404E0,-5.979881287E-1,-2.625970840E-1,1.388117155E0
7.860172000E-1,1.218581319E0,-6.694712639E-1,-5.011367798E-2,1.391274087E0
7.906979820E-1,1.276880145E0,-6.991379261E-1,1.988830566E-1,1.469275745E0
7.953787630E-1,1.284179926E0,-7.629568577E-1,4.934911728E-1,1.573135336E0
8.000595440E-1,1.256258011E0,-8.366820812E-1,8.546876907E-1,1.734563964E0
8.047403250E-1,1.230725765E0,-8.532147408E-1,1.108263016E0,1.863037363E0
8.094211070E-1,1.224385262E0,-8.341522217E-1,1.162051201E0,1.882894631E0
8.141018880E-1,1.230567694E0,-7.628951073E-1,1.090970039E0,1.812876560E0
8.187826690E-1,1.190460682E0,-6.945614815E-1,9.315147400E-1,1.663529981E0
8.234634500E-1,1.152711391E0,-5.890283585E-1,7.581110001E-1,1.500143409E0
8.281442320E-1,1.115584612E0,-4.610607624E-1,6.042757034E-1,1.349909322E0
8.328250130E-1,1.072399378E0,-4.442965984E-1,5.271139145E-1,1.274868217E0
8.375057940E-1,1.002352238E0,-4.384486675E-1,4.287576675E-1,1.175066117E0
8.421865750E-1,9.703252316E-1,-4.674143791E-1,3.403291702E-1,1.129526981E0
8.468674090E-1,9.833810329E-1,-5.384354591E-1,3.165950775E-1,1.164982164E0
8.515481900E-1,9.720904827E-1,-6.253693104E-1,3.572635651E-1,1.209828060E0
8.562289710E-1,9.504644871E-1,-7.163896561E-1,4.572467804E-1,1.275018235E0
8.609097520E-1,9.540082216E-1,-8.022537231E-1,5.353879929E-1,1.356607175E0
8.655905340E-1,9.179761410E-1,-8.569517136E-1,6.013536453E-1,1.392362252E0
8.702713150E-1,9.065831900E-1,-8.856878281E-1,6.338634491E-1,1.417081113E0
8.749520960E-1,9.029198885E-1,-9.126501083E-1,6.474447250E-1,1.437838384E0
8.796328770E-1,8.855252266E-1,-8.785674572E-1,6.208438873E-1,1.393371033E0
8.843136590E-1,8.376984596E-1,-8.506350517E-1,5.519552231E-1,1.315284482E0
8.889944400E-1,8.190154433E-1,-8.312587738E-1,4.576711655E-1,1.253491261E0
8.936752210E-1,7.579758167E-1,-7.682828903E-1,3.524780273E-1,1.135353116E0
8.983560550E-1,7.168567181E-1,-7.194232941E-1,2.032222748E-1,1.035737768E0
9.030368360E-1,6.598597169E-1,-6.630721092E-1,-6.570816040E-3,9.354799002E-1
9.077176170E-1,6.132358313E-1,-6.158521175E-1,-2.099723816E-1,8.941031352E-1
9.123983980E-1,5.579261184E-1,-5.610551834E-1,-4.379663467E-1,9.043666255E-1
9.170791800E-1,5.296447873E-1,-5.295259953E-1,-6.214456558E-1,9.731988921E-1
9.217599610E-1,4.854736924E-1,-4.734203815E-1,-7.868604660E-1,1.038730454E0
9.264407420E-1,4.495857954E-1,-4.237213135E-1,-1.005736351E0,1.180327390E0
9.311215230E-1,4.078471065E-1,-4.326786995E-1,-1.151649475E0,1.296088976E0
9.358023050E-1,3.935453892E-1,-4.404945374E-1,-1.246392250E0,1.379277728E0
9.404830860E-1,5.228761435E-1,-6.446003914E-1,-1.264103889E0,1.512239323E0
9.451638670E-1,5.905652046E-1,-6.798441410E-1,-1.333692551E0,1.609251732E0
9.498446480E-1,5.021828413E-1,-5.610954762E-1,-1.526379585E0,1.702013624E0
9.545254300E-1,3.826814592E-1,-4.605681896E-1,-1.696285248E0,1.798875148E0
9.592062630E-1,2.014169991E-1,-4.519274235E-1,-1.760181904E0,1.828400268E0
9.638870440E-1,6.121581793E-2,-3.964853287E-1,-1.873385906E0,1.915860837E0
9.685678250E-1,2.387261391E-2,-3.254098892E-1,-1.904675484E0,1.932420812E0
9.732486070E-1,6.012159586E-2,-2.504727840E-1,-1.894989967E0,1.912416847E0
9.779293880E-1,8.813029528E-2,-1.834294796E-1,-1.808876514E0,1.820287770E0
9.826101690E-1,1.049304605E-1,-1.623616219E-1,-1.708635807E0,1.719537153E0
9.872909500E-1,1.125138998E-1,-1.344258785E-1,-1.611100674E0,1.620609476E0
9.919717320E-1,1.702367663E-1,-1.543023586E-1,-1.590132713E0,1.606646140E0
9.966525130E-1,2.249919772E-1,-1.192510128E-1,-1.502551556E0,1.523976171E0
1.001333294E0,3.115107417E-1,-6.760025024E-2,-1.341613770E0,1.378962016E0
1.006014075E0,9.448845983E-1,1.602990627E-1,-8.889245987E-1,1.307168557E0
1.010694857E0,1.616584063E0,6.901433468E-1,5.228347778E-1,1.833847888E0
1.015375690E0,1.165318727E0,4.564833641E-1,2.668695450E-1,1.279673455E0
1.020056471E0,7.601662874E-1,6.473302841E-3,-5.248270035E-1,9.237629955E-1
1.024737252E0,3.145355880E-1,-2.253053188E-1,-1.189776421E0,1.251104733E0
1.029418034E0,-7.378017902E-2,-3.279833794E-1,-1.597415447E0,1.632407034E0
1.034098815E0,-2.850992680E-1,-3.024342060E-1,-1.834527016E0,1.881020312E0
