"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.020741270E-1,3.668483794E-1,4.612078667E-1,-1.211376190E-1,6.016350659E-1
6.067547000E-1,4.579854608E-1,3.378527164E-1,-2.923669815E-1,6.398230944E-1
6.114352730E-1,5.435028076E-1,2.715954781E-1,-3.950738907E-1,7.247363553E-1
6.161157940E-1,6.779261231E-1,1.910688877E-1,-4.347162247E-1,8.276891592E-1
6.207963670E-1,7.612322569E-1,8.703184128E-2,-4.712553024E-1,8.995168983E-1
6.254769400E-1,8.246695995E-1,2.627277374E-2,-5.190610886E-1,9.747792677E-1
6.301574610E-1,8.922373056E-1,-5.319166183E-2,-5.781316757E-1,1.064496593E0
6.348380340E-1,9.684649706E-1,-1.273550987E-1,-5.938472748E-1,1.143152792E0
6.395185540E-1,9.912490845E-1,-2.032968998E-1,-5.713462830E-1,1.162041717E0
6.441991270E-1,1.031961560E0,-2.594592571E-1,-5.656232834E-1,1.205069901E0
6.488797000E-1,1.045022726E0,-3.103597164E-1,-5.147771835E-1,1.205566755E0
6.535602210E-1,1.051594734E0,-3.442766666E-1,-4.095993042E-1,1.179893850E0
6.582407940E-1,1.029515386E0,-3.707127571E-1,-2.552766800E-1,1.123608500E0
6.629213670E-1,1.049381733E0,-3.924467564E-1,-3.777980804E-2,1.121001245E0
6.676018880E-1,1.043292403E0,-3.762221336E-1,1.735429764E-1,1.122550354E0
6.722824610E-1,9.941973090E-1,-3.699848652E-1,3.336534500E-1,1.112043935E0
6.769629810E-1,9.689192772E-1,-3.600990772E-1,4.169998169E-1,1.114614175E0
6.816435540E-1,9.219650626E-1,-3.081200123E-1,4.667453766E-1,1.078336110E0
6.863241270E-1,8.964689970E-1,-2.646667957E-1,4.975147247E-1,1.058879633E0
6.910046480E-1,8.147572875E-1,-2.395095825E-1,4.738903046E-1,9.725051663E-1
6.956852210E-1,7.611864805E-1,-2.469253540E-1,3.511142731E-1,8.738754038E-1
7.003657940E-1,7.814686298E-1,-1.896545887E-1,3.319911957E-1,8.699886416E-1
7.050463150E-1,7.848396301E-1,-1.578636169E-1,2.777805328E-1,8.473819629E-1
7.097268880E-1,8.120888472E-1,-8.020448685E-2,2.410411835E-1,8.508947688E-1
7.144074090E-1,8.067514300E-1,-4.778265953E-2,1.552448273E-1,8.229410725E-1
7.190879810E-1,8.287726641E-1,-5.516767502E-2,8.477783203E-2,8.349220813E-1
7.237685540E-1,8.209573030E-1,-8.521199226E-2,1.520061493E-2,8.255077442E-1
7.284490750E-1,8.236513138E-1,-1.112613678E-1,-1.079940796E-2,8.312022653E-1
7.331296480E-1,8.313032389E-1,-1.115057468E-1,-3.642463684E-2,8.395387786E-1
7.378102210E-1,8.199521899E-1,-9.328627586E-2,-1.044492722E-1,8.318254465E-1
7.424907420E-1,7.250568867E-1,-2.267456055E-2,-2.172117233E-1,7.572334893E-1
7.471713150E-1,6.208988428E-1,8.323001862E-2,-3.553600311E-1,7.202245211E-1
7.518518880E-1,4.785570502E-1,1.842448711E-1,-4.784517288E-1,7.013409154E-1
7.565324090E-1,3.950467706E-1,2.690961361E-1,-5.701208115E-1,7.439841538E-1
7.612129810E-1,2.864069939E-1,3.565025330E-1,-6.447067261E-1,7.904238007E-1
7.658935020E-1,1.423198134E-1,4.305155277E-1,-7.120714188E-1,8.441825954E-1
7.705740750E-1,7.867936790E-2,4.580109119E-1,-7.152366638E-1,8.529524744E-1
7.752546480E-1,3.704205155E-2,3.992509842E-1,-7.070827484E-1,8.128588285E-1
7.799351690E-1,-6.949126720E-3,2.716224194E-1,-7.187004089E-1,7.683471265E-1
