t;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
815;-0.42592242;3.2219357;9.475577;-0.08414663;0.0018325944;-0.13385575;16.931252;-28.031252;-29.343752
824;-0.43070808;3.2303107;9.505488;-0.07987057;0.019853106;-0.13202316;16.81875;-28.48125;-28.81875
834;-0.4546363;3.2207394;9.562916;-0.06918044;0.029932374;-0.12744166;16.893751;-28.500002;-28.687502
843;-0.4761717;3.1836505;9.547362;-0.046883874;0.039095346;-0.12133302;16.725;-28.706251;-28.81875
852;-0.4989035;3.1645079;9.548559;-0.027336199;0.036651887;-0.12133302;17.0625;-28.35;-28.9125
862;-0.5024927;3.1405797;9.5665045;-0.011453714;0.023823727;-0.12530364;17.325;-28.2;-28.800001
871;-0.5192425;3.12383;9.547362;0.0016798781;0.00641408;-0.12805253;17.53125;-28.10625;-28.968752
880;-0.5168497;3.1046875;9.507881;0.011759147;-0.0073303776;-0.130496;17.400002;-27.956251;-29.156252
890;-0.5168497;3.0759735;9.505488;0.011148282;-0.021991132;-0.13263401;17.643751;-27.7875;-29.156252
899;-0.5204389;3.0759735;9.517452;0.0059559317;-0.02932151;-0.13599378;17.71875;-27.393751;-29.437502
908;-0.5240282;3.062813;9.513863;0.0035124724;-0.024129158;-0.13935353;17.681252;-27.525002;-29.175001
918;-0.49651068;3.0388846;9.521041;-7.6358096E-4;-0.010384701;-0.14149155;17.8875;-27.45;-29.23125
927;-0.4989035;2.975475;9.506684;-0.003817905;0.010690134;-0.14332415;17.90625;-27.581251;-28.95
937;-0.5072784;2.9395826;9.485149;-0.0044287695;0.032986697;-0.14088069;17.79375;-27.768751;-28.931252
946;-0.506082;2.9048867;9.466006;-0.0035124724;0.05253437;-0.1353829;17.550001;-27.900002;-28.931252
955;-0.5312066;2.865405;9.432507;0.0035124724;0.06811142;-0.12408191;17.6625;-27.975;-28.66875
965;-0.5383851;2.8486555;9.396614;0.013591741;0.074525505;-0.112780906;17.75625;-27.806252;-28.687502
974;-0.5706882;2.8510482;9.37149;0.027641632;0.076358095;-0.10178535;17.925001;-27.768751;-28.800001
983;-0.58983076;2.8438697;9.334401;0.04382955;0.07391464;-0.08987348;17.8125;-27.806252;-29.2875
993;-0.61734825;2.833102;9.276974;0.056046844;0.06444623;-0.08009964;17.7;-27.750002;-29.306252
1002;-0.634098;2.8402805;9.209974;0.067653276;0.046425723;-0.07063124;17.5125;-27.73125;-29.625002
1011;-0.64965135;2.8606195;9.212367;0.0697913;0.015577052;-0.06391173;17.625;-27.468752;-29.775002
1021;-0.64247286;2.8917263;9.208778;0.06704241;-0.016187917;-0.06024654;17.8125;-27.243752;-29.60625
1030;-0.6161518;2.900101;9.192028;0.06307179;-0.032681264;-0.057192214;17.8125;-27.16875;-29.643751
1040;-0.55034924;2.8881369;9.160921;0.059101168;-0.027183482;-0.05291616;17.493752;-27.4125;-29.493752
1049;-0.51445687;2.8546374;9.12144;0.053603385;-0.00763581;-0.045891218;17.53125;-27.31875;-29.343752
1058;-0.4977071;2.8510482;9.047262;0.042302385;0.016187917;-0.031841327;17.737501;-27.000002;-29.268751
1068;-0.50009996;2.8977082;9.014959;0.022754714;0.022907428;-0.015958842;17.6625;-26.94375;-29.23125
1077;-0.53599226;2.9312077;9.031709;-0.006872229;0.0036651888;-0.003130682;17.60625;-27.13125;-29.04375
1086;-0.57188463;2.9970105;9.081959;-0.0368046;-0.02932151;0.0045051277;17.34375;-27.281252;-28.85625
1096;-0.59700924;3.0436704;9.120243;-0.06856957;-0.058337588;0.005726857;17.25;-27.300001;-28.931252
1105;-0.62452674;3.0388846;9.186047;-0.09483676;-0.08307761;0.005726857;17.15625;-27.525002;-29.2875
1114;-0.6305088;3.042474;9.300901;-0.117438756;-0.0980438;0.010919208;17.2875;-27.2625;-29.400002
1124;-0.6017949;3.0436704;9.428918;-0.13179408;-0.0971275;0.022525638;17.00625;-27.206251;-29.56875
1133;-0.57906306;3.0675986;9.553345;-0.14309508;-0.08032872;0.035964664;17.04375;-27.31875;-29.41875
1143;-0.54317075;3.0412776;9.650253;-0.14981459;-0.05864302;0.046349365;17.1;-27.4125;-29.400002
1152;-0.47377887;3.0041888;9.732806;-0.14859286;-0.029016078;0.053985175;17.118752;-27.35625;-29.456251
1161;-0.46061835;3.0233314;9.738789;-0.1385136;9.162972E-4;0.060704686;17.38125;-27.187502;-29.456251
1171;-0.43669012;3.0723844;9.7196455;-0.1226311;0.023518294;0.06620247;17.2875;-27.112501;-29.550001
1180;-0.43429732;3.150151;9.637094;-0.099418245;0.037568185;0.069867656;17.268751;-26.906252;-29.306252
1189;-0.39840496;3.229114;9.578469;-0.07345649;0.032375835;0.067118764;17.1;-27.075;-29.2875
1199;-0.35533416;3.2614172;9.493524;-0.043218683;0.018631376;0.060704686;17.212502;-27.16875;-29.38125
1208;-0.31226337;3.3367913;9.38465;-0.015729768;0.009468404;0.048792824;16.875;-27.075;-29.5125
1217;-0.27756742;3.4121652;9.284152;0.004734202;0.0030543238;0.029245151;16.81875;-27.000002;-29.475
1227;-0.2620141;3.473182;9.29133;0.014813471;-0.00763581;0.0032833982;16.9125;-26.6625;-29.587502
1236;-0.28713873;3.5509489;9.293723;0.015424335;-0.021991132;-0.027259842;16.650002;-26.775002;-29.718752
1245;-0.30867413;3.5904303;9.306884;0.011453714;-0.027794348;-0.054443322;16.556252;-26.925001;-29.7
1255;-0.33379877;3.5856447;9.290133;-0.0019853106;-0.027488915;-0.07704532;16.5375;-26.812502;-30.018751
1264;-0.36011982;3.5593238;9.328419;-0.016951498;-0.021991132;-0.08773545;16.5;-26.906252;-29.925001
1274;-0.3684947;3.5102708;9.335598;-0.028863361;-0.0073303776;-0.08498656;16.181252;-26.868752;-29.868752
1283;-0.39720857;3.5030923;9.342776;-0.03924806;0.016798781;-0.07582359;16.087502;-26.962502;-30.000002
1292;-0.40917268;3.4863427;9.323633;-0.0377209;0.046425723;-0.061162837;15.8625;-26.94375;-30.075
1302;-0.42831525;3.4971104;9.305687;-0.027641632;0.07849612;-0.04925097;15.356251;-27.2625;-30.0375
1311;-0.40917268;3.525824;9.219545;-0.013591741;0.10506874;-0.04253146;15.450001;-27.31875;-30.300001
1320;-0.4331009;3.5030923;9.165708;0.010231985;0.11911863;-0.04130973;15.262501;-27.35625;-30.243752
1330;-0.45583272;3.5102708;9.109476;0.031917684;0.11575887;-0.04405862;14.925;-27.675001;-29.962502
1339;-0.4761717;3.546163;9.0436735;0.051159926;0.09682207;-0.049861837;15.075001;-27.487501;-30.16875
1348;-0.5084748;3.5497525;9.005388;0.061544627;0.06627883;-0.06024654;15.1125;-27.862501;-30.018751
1358;-0.5395815;3.5270207;8.986245;0.061544627;0.031154104;-0.0730747;15.281251;-27.825;-29.775002
1367;-0.55034924;3.495914;8.970692;0.05299252;-3.054324E-4;-0.08315397;15.375001;-28.0125;-29.718752
1377;-0.57188463;3.4695928;8.969496;0.03405571;-0.02046397;-0.08651373;15.58125;-28.050001;-29.681252
1386;-0.5886344;3.4504502;8.975478;0.010537418;-0.03084867;-0.082848534;15.431251;-28.1625;-29.250002
1395;-0.60658056;3.4037902;9.053245;-0.017867794;-0.03848448;-0.07399099;15.50625;-28.06875;-29.1375
1405;-0.6113662;3.3930225;9.111869;-0.044134982;-0.037262753;-0.060857404;15.637501;-28.143751;-28.95
1414;-0.63529444;3.377469;9.162118;-0.06093376;-0.017715078;-0.04405862;15.356251;-28.368752;-28.743752
1423;-0.60658056;3.3786657;9.170493;-0.072540194;0.017104214;-0.026038112;15.337501;-28.312502;-28.706251
1433;-0.5910272;3.3702908;9.175279;-0.07345649;0.054061532;-0.0080176005;15.093751;-28.331251;-28.687502
1442;-0.59940207;3.3966117;9.175279;-0.06856957;0.08124501;0.0063377223;15.150001;-28.2;-28.500002
1451;-0.6017949;3.4624143;9.171689;-0.055130545;0.09651663;0.015500694;15.20625;-28.143751;-28.331251
1461;-0.60658056;3.5306098;9.102298;-0.03527744;0.10262528;0.01763872;15.187501;-27.956251;-28.48125
1470;-0.5982057;3.5892339;8.968299;-0.016035201;0.098654665;0.010613776;15.056251;-28.125002;-28.650002
1480;-0.60658056;3.6263227;8.864211;0.0016798781;0.0876591;-0.0019089525;15.0375;-27.91875;-28.725
1489;-0.64965135;3.676572;8.782856;0.009315688;0.06444623;-0.014126248;14.981251;-27.618752;-28.875002
1498;-0.7082755;3.7363925;8.743374;0.00962112;0.03054324;-0.02451095;15.0375;-27.35625;-28.987501
1508;-0.75493556;3.7651064;8.720642;-0.0019853106;-0.008857539;-0.028787002;15.187501;-27.2625;-29.1
1517;-0.79920274;3.792624;8.703893;-0.016646065;-0.038179047;-0.026954409;15.150001;-27.225;-29.5125
1526;-0.80997044;3.8141594;8.711071;-0.034666575;-0.04734202;-0.023900084;15.150001;-26.8875;-29.962502
1536;-0.7920243;3.8344984;8.736196;-0.057268575;-0.043065965;-0.020234896;15.13125;-26.681252;-30.16875
1545;-0.77766734;3.842873;8.7780695;-0.07895427;-0.025045456;-0.01809687;15.281251;-26.400002;-30.375002
1554;-0.7728817;3.8572302;8.812766;-0.10063997;-0.004581486;-0.0193186;15.3;-26.19375;-30.562502
1564;-0.7704889;3.8656049;8.834301;-0.117744185;0.018936807;-0.022983788;15.468751;-26.250002;-30.50625
1573;-0.77647096;3.8668015;8.82832;-0.13454297;0.039095346;-0.027259842;15.281251;-26.343752;-30.50625
1583;-0.77647096;3.871587;8.833105;-0.15317434;0.044287696;-0.031841327;14.962501;-26.6625;-30.31875
1592;-0.8255238;3.8895333;8.877372;-0.16936226;0.03176497;-0.034284785;14.75625;-26.625002;-29.868752
1601;-0.87338024;3.9026937;8.938389;-0.18371758;0.011911863;-0.033979353;14.64375;-26.775002;-29.812502
1611;-0.89013004;3.891926;8.99821;-0.18982624;-0.007941242;-0.028481571;14.625001;-26.94375;-29.41875
1620;-0.90329057;3.8584266;9.049655;-0.18646647;-0.021991132;-0.020845762;14.437501;-27.093752;-28.968752
1629;-0.91405827;3.842873;9.11785;-0.17363831;-0.034819294;-0.011682789;14.08125;-27.431252;-28.706251
1639;-0.9403793;3.8117664;9.208778;-0.15286891;-0.049174614;-0.005574141;13.781251;-27.6;-28.518751
1648;-0.8853444;3.7962132;9.226724;-0.12202024;-0.03970621;-0.0019089525;13.63125;-27.6375;-28.312502
1657;-0.78843504;3.7615173;9.169296;-0.08872811;-0.015882485;-0.0067958706;13.481251;-27.675001;-27.900002
1667;-0.7908279;3.7363925;9.229117;-0.06307179;-0.011606431;-0.021762058;13.275001;-27.975;-27.956251
1676;-0.8171489;3.723232;9.32124;-0.04016436;-0.03695732;-0.037644543;12.975;-28.25625;-27.431252
1685;-0.8578269;3.7196429;9.355937;-0.018173227;-0.06994402;-0.05291616;12.58125;-28.63125;-27.375002
1695;-0.86979103;3.6873398;9.345169;0.002290743;-0.09040799;-0.066049755;12.243751;-28.987501;-27.393751
1704;-0.89491564;3.611966;9.343972;0.021838415;-0.086742796;-0.073380135;12.075001;-29.437502;-27.0375
1714;-0.91884387;3.5736806;9.334401;0.03008509;-0.07024945;-0.0712421;12.01875;-29.56875;-27.000002
1723;-0.94396853;3.5605202;9.311669;0.034361143;-0.044898562;-0.06024654;12.150001;-29.60625;-26.79375
1732;-0.9954142;3.5688949;9.267402;0.029474225;-0.021991132;-0.04253146;12.337501;-29.625002;-26.925001
1742;-1.0037891;3.5509489;9.233903;0.014508039;-0.011606431;-0.026954409;12.468751;-29.75625;-26.831251
1751;-1.0360922;3.5581272;9.235099;-0.010537418;-0.01924224;-0.017180571;12.543751;-29.98125;-26.94375
1760;-1.052842;3.546163;9.263813;-0.039553493;-0.045509428;-0.015347977;12.825001;-29.98125;-26.868752
1770;-1.0624132;3.5497525;9.323633;-0.07040217;-0.083688475;-0.014126248;12.937501;-29.812502;-26.7
1779;-1.0636097;3.5234313;9.379865;-0.09453133;-0.118202336;-0.011377357;13.312501;-29.2875;-26.94375
1788;-1.0492527;3.4887354;9.439685;-0.113162704;-0.14019346;-0.0058795735;13.33125;-29.400002;-26.925001
1798;-1.0217353;3.4528432;9.517452;-0.12079851;-0.15210533;0.0020616686;13.556251;-29.19375;-26.868752
1807;-0.997807;3.406183;9.57488;-0.12660173;-0.15424335;0.013057235;13.5375;-29.062502;-27.018751
1817;-0.90807617;3.3762727;9.638289;-0.12660173;-0.14477496;0.023136504;13.5375;-28.968752;-27.056252
1826;-0.8578269;3.3415768;9.698111;-0.13026692;-0.13041963;0.030772313;13.387501;-29.025002;-26.962502
1835;-0.80518484;3.3810585;9.784252;-0.13179408;-0.120034926;0.03413207;13.2375;-28.837502;-26.831251
1845;-0.7322037;3.3906298;9.840483;-0.12873976;-0.10873393;0.033826638;12.975;-29.062502;-26.643751
1854;-0.6436693;3.3954153;9.858429;-0.11835505;-0.09315688;0.03046688;12.468751;-29.456251;-26.41875
1863;-0.64247286;3.3643086;9.865608;-0.10033454;-0.08307761;0.027412556;11.981251;-29.85;-25.931252
1873;-0.62093747;3.3870404;9.827323;-0.07467822;-0.07941242;0.024663666;11.45625;-30.16875;-26.268751
1882;-0.5946164;3.3762727;9.729217;-0.046273008;-0.076052666;0.024663666;11.306251;-30.225;-26.343752
1891;-0.57906306;3.3631122;9.688539;-0.020005822;-0.085215636;0.025579963;11.2875;-29.962502;-26.56875
1901;-0.552742;3.3667014;9.6682;0.002290743;-0.109344795;0.030161448;11.475;-29.643751;-26.681252
1910;-0.56590253;3.3762727;9.658628;0.025503604;-0.1545488;0.032604907;11.55;-29.60625;-26.7
1920;-0.5694918;3.333202;9.633504;0.05665771;-0.20769402;0.03138318;11.83125;-29.41875;-26.925001
1929;-0.5180461;3.269792;9.578469;0.09850194;-0.24190246;0.024663666;12.093751;-28.9125;-27.54375
1938;-0.45942193;3.1669009;9.469596;0.1461494;-0.24190246;0.016111558;12.6;-28.312502;-28.29375
1948;-0.38404804;3.0819557;9.343972;0.19929464;-0.21380267;0.014584397;13.031251;-27.7875;-28.556252
1957;-0.29312077;3.109473;9.29133;0.2545779;-0.16798781;0.029856017;13.106251;-27.618752;-28.743752
1966;-0.2656033;3.2638102;9.180064;0.3178024;-0.100487255;0.06284271;13.125001;-27.281252;-28.95
1976;-0.21296121;3.4372897;9.019745;0.3837758;-0.032375835;0.101327196;13.087501;-27.056252;-29.2875
1985;-0.17228323;3.5641093;8.831908;0.4488329;0.005497783;0.12728895;12.95625;-26.94375;-29.775002
1994;-0.13399807;3.6957145;8.68475;0.5083922;-9.162972E-4;0.1392008;13.125001;-26.456251;-30.45
2004;-0.16031912;3.867998;8.535198;0.56092656;-0.036651887;0.14133884;13.218751;-26.268751;-30.50625
2013;-0.1698904;4.193422;8.306684;0.6049088;-0.0858265;0.1333976;13.05;-26.5125;-30.2625
2023;-0.1471586;4.4279184;8.206185;0.62751085;-0.171653;0.112017326;12.69375;-26.79375;-30.187502
2032;-0.046660043;4.5726843;8.228917;0.62292933;-0.28221953;0.072921984;12.6;-26.812502;-30.150002
2041;0.029910283;4.706682;8.149954;0.58505577;-0.3506364;0.016111558;12.4875;-27.0375;-30.056252
2051;0.03589234;4.9603214;8.065009;0.51236284;-0.36407542;-0.05261073;12.50625;-27.000002;-29.85
