t;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
880;0.57547385;3.7854455;9.521041;-0.16775873;-0.22800528;-0.12110394;15.6;-24.45;-30.45
890;0.6053841;3.8763726;9.342776;-0.1674533;-0.1632536;-0.083230324;15.4875;-24.525002;-30.525002
899;0.64606214;3.912265;9.194421;-0.16470441;-0.110108376;-0.0481056;15.337501;-24.562502;-30.618752
908;0.6867401;3.9397824;9.089137;-0.1598175;-0.066126116;-0.027641632;15.431251;-24.31875;-30.7875
918;0.6759724;4.007978;9.055637;-0.15767947;-0.050854493;-0.027641632;15.450001;-24.112501;-30.7875
927;0.64008003;4.066602;9.0341015;-0.15645774;-0.07223476;-0.046883874;15.225;-24.2625;-30.825
936;0.5946164;4.145565;9.02453;-0.15767947;-0.116217025;-0.07803798;14.887501;-24.581251;-30.712502
946;0.567099;4.1431723;8.938389;-0.15829034;-0.16355905;-0.110108376;14.83125;-24.45;-30.768751
955;0.5072784;4.1036906;8.834301;-0.15340342;-0.19104797;-0.1339321;14.83125;-24.45;-30.73125
964;0.424726;4.0773697;8.7469635;-0.14240785;-0.18066326;-0.14828743;14.718751;-24.375002;-30.69375
974;0.31106696;4.0558343;8.719446;-0.12224931;-0.14004076;-0.14981459;14.981251;-24.16875;-30.712502
983;0.21894327;4.0438704;8.63809;-0.09689843;-0.10033454;-0.14095704;14.925;-24.187502;-30.750002
993;0.17706887;4.0235314;8.510074;-0.06666062;-0.07956514;-0.12507457;14.868751;-24.13125;-31.0125
1002;0.16869399;4.037888;8.398808;-0.033063058;-0.07101303;-0.111635536;15.150001;-23.7;-31.218752
1011;0.19980069;4.045067;8.299505;-0.0043524117;-0.06734784;-0.10338886;15.450001;-23.400002;-31.2
1021;0.19381863;4.042674;8.240881;0.018249584;-0.06551525;-0.10430516;15.375001;-23.38125;-31.10625
1030;0.17108682;4.072584;8.248059;0.020387612;-0.06826414;-0.11346813;15.375001;-23.362501;-31.331251
1039;0.1160519;4.092923;8.348558;0.0017562362;-0.08231403;-0.12782346;15.337501;-23.53125;-31.312502
1049;0.124426775;4.078566;8.535198;-0.039171703;-0.10766492;-0.14462224;15.150001;-23.681252;-31.312502
1058;0.09930214;4.0103707;8.743374;-0.09353867;-0.14401138;-0.16478078;15.375001;-23.4375;-31.29375
1067;0.09571291;3.8943188;8.932407;-0.15065452;-0.18738277;-0.1876882;15.50625;-23.493752;-31.050001
1077;0.111266255;3.7567315;9.12503;-0.20257804;-0.21334453;-0.20998476;15.281251;-23.8875;-30.975
1086;0.08973085;3.6574295;9.274581;-0.23678645;-0.20662501;-0.22281294;15.187501;-24.0375;-30.862501
1096;0.059820566;3.5401812;9.389436;-0.2474766;-0.1669188;-0.22372922;15.281251;-24.300001;-30.806252
1105;0.02751746;3.4576287;9.497113;-0.23556472;-0.09666935;-0.21548255;15.356251;-24.35625;-30.525002
